Paper #,Year,Paper Title,Journal,Authors,Focus of the Paper,Models Used,Methodology Used,Limitation or Gap,Real-time Evacuation -considered,Wildfire spread Model -developed,Community Aspect -considered,Interaction with other infrastructure failure- considered,Generalization,Future Direction,link,Note,Keyword
11,2024,"Sim2Real-Fire: A Multi-modal Simulation Dataset for
Forecast and Backtracking of Real-world Forest Fire",38th Conference on Neural Information Processing Systems (NeurIPS 2024) Track on Datasets and Benchmarks.,Li et al.,Simulation-to-real wildfire mask prediction and backtracking,Cross-Attention Transformer,Multimodal transformer trained on 1M simulated wildfire sequences,Requires massive synthetic dataset,,,,,,Edge-based deployment and real-time multimodal fusion,https://proceedings.neurips.cc/paper_files/paper/2024/file/02e978a2cc9a1d0d4376a7deb01db612-Paper-Datasets_and_Benchmarks_Track.pdf,It gives a multimodal simulation of the fire backtracking the data to  do the fire simulation,wildfire Spread Model
12,2024,"An Effective Forest Fire Prediction based on
Contrastive Vision Transformer with Pool Former",2024 International Conference on Integrated Intelligence and Communication Systems (ICIICS),Deepa et al.,Early forest fire detection from imagery,"Contrastive Vision Transformer (CViT), PoolFormer",Self-supervised contrastive learning + attention modeling,"Image-only; no environmental factors, there is no curated dataset",,,,,,Integrate meteorology and fuel layers,https://ieeexplore.ieee.org/document/10859856?denied=,,wildfire Spread Model
13,2022,Secured Forest Fire Prediction Using Blockchain and CNN Transformers, 2024 International Conference on Information and Communication Technologies for Disaster Management (ICT-DM),Annane et al.,Real-time wildfire alert generation,CNN + Transformer hybrid,Spatial feature extraction (CNN) + temporal modeling (Transformer),Small dataset; limited scalability,,,,,,Deploy scalable transformer-based risk systems,https://ieeexplore.ieee.org/document/10798931?denied=,,wildfire Spread Model
14,2022,"Deep Learning and Transformer Approaches for UAV-Based
Wildfire Detection and Segmentation",sensors,Ghali et al.,UAV wildfire segmentation and boundary detection,"TransUNet, TransFire (Vision Transformer-based)",Transformer-based segmentation masks generation,Higher inference time vs CNN,,,,,,Optimize transformer efficiency,https://www.mdpi.com/1424-8220/22/5/1977,,wildfire Spread Model
15,2023,"Stacking Deep Learning Models for Early Detection of Wildfire
Smoke Plumes",EUSIPCO 2023,Falcão et al.,Smoke plume detection in wildfire monitoring,"EfficientNetV2, DeiT, Swin TransformerV2",Ensemble deep learning + vision transformers,Focused on detection only,,,,,,Integrate spread forecasting capability,https://ieeexplore.ieee.org/document/10289811,,wildfire Spread Model
16,2024,Forecast of wildfire potential across California USA using a transformer,2024 IEEE International Conference on Big Data (Big Data),Limber et al.,Wildfire risk forecasting (7-day prediction),Residual Transformer,Transformer-based WFPI emulation using meteorological + NDVI inputs,Slight underprediction of extreme risk,,,,,,Hybrid physics-transformer wildfire risk modeling,https://ieeexplore.ieee.org/iel8/10824975/10824942/10825778.pdf?casa_token=ZDiRvA_fXqUAAAAA:nEXmFtx3BH8D_W2jqRwz5wJLSMKsb4yhbMMVeFZtjnokVJfrCuNbro4teXriI3mst5RK1riuBoM,,wildfire Spread Model
17,2022,A hybrid wildfire spread prediction model using ANN and Cellular Automata,"(Journal – Wu et al., 2022)",Wu et al.,Wildfire spread simulation and spatial propagation modeling,Artificial Neural Network (ANN) + Cellular Automata (CA),ANN estimates ignition probability / spread likelihood; CA propagates fire spatially across grid cells,Limited generalization across diverse fuel & climate regimes; simplified physical assumptions,,,,,,Integrate dynamic weather drivers and improve physics coupling,(Add DOI if needed),Early physics–ML hybrid spread modeling approach,wildfire Spread Model
18,2022,"Estimating Wildfire Evacuation Decision and Departure Timing
Using Large-Scale GPS Data",Transportation Research Part D: Transport and Environment ,"Xilei Zhaoa,?
, Yiming Xua
, Ruggiero Lovregliob
, Erica Kuligowskic
, Daniel Nilssond
,
Thomas Covae
, Alex Wua
, Xiang Yana","This paper focuses on developing a new categorization of  the wildfire evacuees (i.e., self-evacuee, shadow evacuee, evacuee under warning, and ordered evacuee) based on the GPS data",This is the descriptive and inferential statistics for the different evacuees and this uses GPS data. ,This uses different methodology for defining home location (wjere people usually stay from 10 PM to 6 am) and then systematically categorizes different group of evcacuees,"This study does not focus on 
1. interaction with fire crews or emergency management- like whether rescue team made them evacuate
2. This does not take into account the fire progression
3. Does not dveelop any model to gauge the evacuation pattern ",,,,,,This data can be used and inetgarted to develop evacuation startegy for wildfire,https://www.sciencedirect.com/science/article/am/pii/S136192092200102X,"Though there is scope for developing methodology and models, the dataset is useful",Wildfire Real time evacuation
19,2026,"A Particle Swarm Optimization-Enhanced Algebraic Derivative Estimation
Approach for Real-Time Traffic Flow Prediction on Critical Road Sections
During Wildfire Evacuation",Taylor & Francis,"Tianyang Cuia
, Guanhao Xub
, Anye Zhoub
, Jianfei Chenb
, Adian Cookb
, Zejiang Wanga,*",This focuses on predicting the traffic flow at particular tarffic intersection of Atladena,algebraic derivative estimation (ADE) incorporating particle swarm optimization (PSO),"This study uses the data:
1. data from Caltrans PeMS (Varaiya 2004), which
provides a comprehensive dataset with fields such as Timestamp, Station ID, District, Freeway, Direction, Lane Type,
Station Length, Total Flow, Average Occupancy, and Average Speed
2. this predixts the traffic flow based on the aforementioned algorithm which gives more predictive accuracy than any ML and DL models","1. This does not consider any spread model or traffic flow sensitivity to any other road clouse
2. It only focuses on one case study which can not produce generalized results
3. This study do not comnsider the population density of the communities
4. This can not predict the long term traffic volume or produce any future recommendation towards evacuation",,,,,,Mitigate the gaps mentioned,https://www.osti.gov/pages/servlets/purl/3013479,,Wildfire Real time evacuation
20,2026,"RESCUE: Routing under Evolving Stochastic Congestion and Uncertain
Spread in Wildfire Emergencies",Proceedings of the 27th International Conference on Distributed Computing and Networking,"Sowjanya Tammali, Arindam Khanda, Anurag Satpathy, S. M. Shovan",This study focuses on the RESCUE framework which is basically a multi-objective shortest path algorithm based on the fire zone and safety zones,"Two stochastic edge-cost functions are introduced:
the Edge-Fire Risk Function (EFRF), estimating road inaccessibility
from the fire’s rate-of-spread, and a Beta cumulative distribution
modeling evacuee speed under stress, combined with the Bureau
of Public Roads (BPR) model for delay estimation.","It uses the stress under Bureau of Public Records and Edge fire Risk to model the entire framework. Methodology
1. System Framework

The proposed framework, RESCUE (Routing under Evolving Stochastic Congestion and Uncertain Spread in Wildfire Emergencies), is designed to compute dynamic evacuation routes under evolving wildfire and traffic conditions. The methodology integrates wildfire spread modeling, traffic congestion modeling, and multi-objective routing in a dynamic road network.

The overall framework consists of two major stages:

Preprocessing Stage

Real-time Routing and Update Stage

The road network is represented as a time-varying weighted graph where edge weights dynamically change based on wildfire risk, traffic congestion, and travel distance.

2. System Model
2.1 Wildfire Response Phases

Wildfire evacuation is modeled in two operational phases:

Phase 1: Detection and Assessment

Wildfires are detected using remote sensing data such as:

Synthetic Aperture Radar (SAR)

Vegetation indices (e.g., NDVI)

Fire spread forecasts are generated using established wildfire models.

Phase 2: Evacuation Advisory

Public safety responses are issued based on fire severity and traffic conditions:

Warning stage – residents prepare for evacuation

Advisory stage – voluntary evacuation begins

Mandatory stage – enforced evacuation in imminent danger

The affected region is divided into four fire risk zones:

Zone	Description
Zone 0	Safe area / evacuation exit
Zone 1	Low fire risk
Zone 2	High fire risk
Zone 3	Active fire region

As illustrated in Figure 1 (page 3), evacuees may choose among multiple routes with different trade-offs between distance, congestion, and fire exposure.

3. Road Network Representation

The road network is modeled as an undirected weighted graph:

??
(
??
,
??
)
G(V,E)

Where:

V = road intersections (vertices)

E = road segments (edges)

Each edge contains three attributes:

Distance cost – physical road length

Fire risk cost – probability of fire reaching the road

Congestion cost – traffic delay due to vehicle flow

Thus the network becomes a dynamic risk-aware graph where weights change over time as fire and traffic evolve.

4. Fire Spread Modeling

Wildfire dynamics are modeled using the Rate of Spread (ROS) model, which incorporates environmental factors such as wind and terrain slope.

??
??
??
=
??
??
?
??
??
??
?
??
?
??
??
??
(
1
+
??
??
+
??
??
)
ROS=
?
b
	?

???Q
ig
	?

IR??
	?

(1+?
w
	?

+?
s
	?

)

Where:

??
??
IR = reaction intensity

??
? = propagating flux ratio

??
??
?
b
	?

 = bulk density of fuel

??
? = effective heating number

??
??
??
Q
ig
	?

 = heat of ignition

??
??
?
w
	?

 = wind effect

??
??
?
s
	?

 = slope effect

Using ROS, the time until fire reaches a location is calculated based on its distance from the fire front.

Vertex Fire Risk

The probability that fire reaches a vertex 
??
v is defined as:

??
??
(
??
)
P
t
	?

(v)

which increases as the fire front approaches the location.

Vertices are classified as:

Fire affected

High risk

Low risk

Safe

5. Edge Fire Risk Function (EFRF)

To quantify fire exposure on roads, the paper introduces the Edge-Fire Risk Function (EFRF).

For edge 
??
=
(
??
,
??
)
e=(u,v):

??
??
(
??
)
=
??
??
(
??
)
?
??
??
R
t
	?

(e)=P
t
	?

(e)??
d
	?


Where:

??
??
(
??
)
P
t
	?

(e) = mean fire risk of endpoints

??
??
?
d
	?

 = road segment length

This formulation captures the fact that longer roads with higher fire probability are more dangerous.

6. Traffic Congestion Modeling

Traffic delays are modeled using the Bureau of Public Roads (BPR) congestion function:

??
(
??
??
)
=
??
??
??
??
(
1
+
??
(
??
??
??
??
)
??
?
)
?(f
e
	?

)=t
e
ff
	?

(1+?(
c
e
	?

f
e
	?

	?

)
?
?
)

Where:

??
??
??
??
t
e
ff
	?

 = free flow travel time

??
??
f
e
	?

 = traffic flow

??
??
c
e
	?

 = road capacity

??
,
??
?
?,?
?
 = calibration parameters

This captures nonlinear traffic delays during evacuation congestion.

7. Multi-Objective Evacuation Path Optimization

Evacuation routing is formulated as a Multi-Objective Shortest Evacuation Path (MOSEP) problem.

The objective is to simultaneously minimize:

Travel distance

Fire exposure risk

Traffic delay

Since these objectives conflict, the framework computes Pareto-optimal paths, meaning that no other path improves one objective without worsening another.

Each path label stores:

(
??
??
,
??
??
,
??
??
)
(l
d
	?

,l
r
	?

,l
?
	?

)

Where:

??
??
l
d
	?

 = cumulative distance

??
??
l
r
	?

 = cumulative fire risk

??
??
l
?
	?

 = cumulative delay

8. Dynamic Routing Updates

The framework updates evacuation routes using two types of updates:

Macro Updates

Triggered by major environmental changes such as:

rapid fire spread

strong wind shifts

regional traffic congestion

These updates recompute edge weights and rerun the optimization.

Micro Updates

Performed more frequently to adjust localized changes such as:

small traffic fluctuations

incremental fire risk updates

These updates modify only affected edges, avoiding full recomputation.

9. Stochastic Fire Risk Update

After macro updates, fire risk evolves stochastically:

??
??
(
??
)
=
1
?
(
1
?
??
??
?
??
??
??
??
??
??
??
??
(
??
)
)
??
(
??
?
??
?
??
??
??
??
??
??
??
??
)
P
i
	?

(e)=1?(1?P
checkpoint
	?

(e))
?(i?checkpoint)

Where:

??
??
?
??
??
??
??
??
??
??
??
(
??
)
P
checkpoint
	?

(e) = fire risk at last macro update

??
? = tuning parameter

This models wildfire spread as a memoryless stochastic process.

10. Behavioral Traffic Model

Evacuee speed is modeled using a Beta cumulative distribution function (CDF):

??
(
??
)
=
??
??
??
??
+
(
??
??
??
??
?
??
??
??
??
)
[
1
?
??
??
??
??
??
??
??
(
??
/
??
;
??
,
??
)
]
v(x)=v
min
	?

+(v
max
	?

?v
min
	?

)[1?BetaCDF(x/X;?,?)]

This captures behavioral patterns such as:

slow acceleration at the start

higher speed mid-route

deceleration near exits

The resulting vehicle flow is then used in the BPR congestion model.

11. Implementation and Simulation Setup

The system is implemented using:

Python 3.8 (framework implementation)

C++ with OpenMP (parallel multi-objective shortest path computation)

Simulation inputs include:

USDA wildfire datasets (wind, slope, fuel moisture)

City road networks for:

San Francisco

Seattle

Washington

Denver

Las Vegas

Each experiment runs:

1 macro update

4 micro updates

evacuee counts = {25, 50, 75, 100}","1. Simplified Fire Spread Modeling: The framework uses the Rothermel Rate of Spread (ROS) model, which is a classical physics-based wildfire spread model.
2.  Fire Prediction is Assumed Instead of Modeled
3. Community dempgraphics and aspects are not considered
4. Wildfire can cause road blockages which is not considered here",,,,,,1. Real-time integration of traffic volume and network modeling of transportation,https://dl.acm.org/doi/full/10.1145/3772290.3772301,,Wildfire Real time evacuation
21,2026,"Integrating ChatGPT and Geospatial
Resources: A Virtual Assistant
for Enhanced Decision-Making in Disaster
Response ","W2GIS 2025, LNC","Juan Francisco Bustamante-Avila1(B) , Luis M. Vilches-Blázquez2 ,
and Sandra Dinora Orantes-Jiménez1,2",This trains the ChatGPT with geospatial data in order to come up with  rerotuing and evacuation plan,Ptompt engineering and agentic AI,Prompt engineering and agentic AI,"There is not absolute spread modeling to be considered, and there is no predictive capability of this model or any optimization modle deployed for rerouting",,,,,,,https://link.springer.com/chapter/10.1007/978-3-032-01723-9_4,,Wildfire Real time evacuation
22,2026,"Optimizing evacuation routes for human mobility during
wildfires: A case study of the 2023 McDougall Creek Wildfire",Transportation Research ,"Bahareh Raei a
, Apratim Sen a
, Max Kinateder b
, Noureddine Bénichou b
,
Xin Wang ","This study addresses these issues by analyzing the 2023 McDougall Creek
Wildfire (Kelowna, BC) using GPS data, identifying congestion bottlenecks, and developing a
dynamic Dijkstra-A* algorithm with a multi-criteria cost function that integrates distance, congestion,
and fire risk. Validated through SUMO simulations across two scenario groups with fire
origins in the northwest and southwest, we tested four evacuation strategies: simultaneous departure,
temporally staggered departure, region-based evacuation with uniform response times, and
region-based evacuation with realistic response time variability.","dynamic Dijkstra-A* algorithm with a multi-criteria cost function that integrates distance, congestion,
and fire risk","Simple Explanation of the Methodology

The methodology has five main steps. Think of it like a pipeline:

Raw GPS data ? Understand people's movement ? Detect congestion ? Build routing algorithm ? Test evacuation strategies

1. Collect and Prepare GPS Data

First, the researchers collected large-scale mobility data.

Data they used

181 million GPS records

From 376,036 mobile devices

Time period: Aug 1 – Sept 30, 2023

Location: Kelowna region (Canada) during the McDougall Creek wildfire. 

Paper 6 Raei et al. 2026

What information each GPS point had

Device ID

Latitude

Longitude

Timestamp

Number of location pings

Why this data is important

It shows how people actually moved before and during the wildfire evacuation.

2. Map GPS Points to Real Roads

Raw GPS points are noisy and may not align with roads.

So they used a method called:

Hidden Markov Model (HMM) Map Matching

This method:

Takes GPS points

Matches them to the most likely road segment

This produces vehicle trajectories (actual paths taken by cars).

Result:

GPS points ? cleaned trajectories on road network

This step is critical for accurate traffic analysis. 

Paper 6 Raei et al. 2026

3. Detect Where People Live (Home Detection)

To simulate evacuation, the model must know where people start from.

So they estimated home locations from GPS data.

Method used

They assumed:

People are at home at night.

So they looked at GPS points between:

10 PM – 6 AM

Rules used:

A device is considered a resident if:

It stays in the same area

For at least 5 nights before the wildfire

Then they assign the most frequent nighttime location as the home.

Result:

~18,050 homes detected

These homes become starting points for evacuation vehicles. 

Paper 6 Raei et al. 2026

4. Detect Traffic Speeds and Bottlenecks

Next they studied traffic conditions.

They estimated vehicle speed using:

Hybrid method

Direct GPS speed calculation

Bayesian inference

K-Nearest Neighbor (KNN)

If speed data was missing:

Bayesian method estimates likely speed

KNN predicts speed from similar road types

Then speeds were smoothed using a Gaussian filter.

Bottleneck Detection

They measured congestion using:

Lane Density

Lane density = vehicles per km

Threshold:

Density	Meaning
<20 vehicles/km	normal
>20 vehicles/km	unstable
>45 vehicles/km	traffic breakdown

Road segments above 20 vehicles/km were considered bottlenecks. 

Paper 6 Raei et al. 2026

5. Build a Dynamic Evacuation Routing Algorithm

Traditional routing methods (like shortest path) fail during disasters because they ignore:

Fire spread

Traffic congestion

Safety risk

So the researchers created a Dynamic Dijkstra–A* algorithm.

Road Network Representation

They modeled the road network as a graph:

Nodes = intersections
Edges = road segments

Each road segment has a cost.

6. Cost Function for Evacuation Routes

The algorithm chooses routes based on three factors:

1?? Travel Time
Travel time = road length / speed
2?? Fire Risk

Roads close to fire are dangerous.

Risk increases exponentially:

FireRisk = exp( -distance_to_fire / 500 )

Closer to fire ? higher risk.

3?? Congestion Penalty

If traffic speed drops below 50% of normal, the cost increases.

This prevents everyone from using the same road.

Final Cost Formula
??
(
??
,
??
)
=
??
??
(
??
,
??
)
+
??
??
(
??
,
??
)
+
??
??
(
??
,
??
)
C(e,t)=?T(e,t)+?F(e,t)+?P(e,t)

Where:

Term	Meaning
T	travel time
F	fire risk
P	congestion penalty

Weights used:

? = 0.5  (travel time most important)
? = 0.3  (fire safety)
? = 0.2  (congestion)

So the algorithm tries to find routes that are:

? fast
? safe
? not congested

7. Simulate Evacuation Using SUMO

They tested the routing algorithm using SUMO, a traffic simulation software.

Simulation steps:

Vehicles start from detected homes

Vehicles move toward exit routes

Every 60 seconds:

Fire spreads

Traffic speeds update

Routes are recalculated

If a route becomes dangerous or congested:

Vehicle gets rerouted automatically
8. Test Different Evacuation Strategies

They simulated four evacuation scenarios:

1?? Everyone leaves at the same time
2?? People leave at different times (staggered)
3?? Regions evacuate one by one
4?? Region-based evacuation with realistic delays","The wildfire model is not considered, They do NOT model: fuel conditions, vegetation, wind, terrain, moisture, fire propagation
The community burden is not considered here",,,,,,,https://www.sciencedirect.com/science/article/pii/S136192092600009X,,Wildfire Real time evacuation
